frame_idx,origin_source,mode,used_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z,obj_euler_x_deg,obj_euler_y_deg,obj_euler_z_deg,filter_mode,quat_order,apply_x_map
30,1,primary,0,-1.1887874116881925,0.315611127195136,-0.22584919494929898,0.017198266331235276,0.705316713437396,0.7072700249237962,0.04473997346180502,174.97370898283015,-2.222720744626215,90.25602525346618,ema,wxyz,-X
31,1,primary,0,-1.1909330617260685,0.3161002682444746,-0.2250426831825683,0.01699252587178997,0.7054170550422634,0.7074108324844279,0.040840502000900426,175.30785980981014,-1.9242267529878896,90.24055316981651,ema,wxyz,-X
32,1,primary,0,-1.192519141773968,0.31685605779578985,-0.2237601574140855,0.015143243348819896,0.7054567789829488,0.7075411668446431,0.03856050295318483,175.6428455955866,-1.8897626300489971,90.24093618935271,ema,wxyz,-X
33,1,primary,0,-1.1949841009592062,0.31932652485886853,-0.22090445866579708,0.016553670661838743,0.7154865176233043,0.6974983850850406,0.03606968104457218,175.7542184930413,-1.6344361697039436,88.60185059245231,ema,wxyz,-X
34,1,primary,0,-1.198938966413846,0.3207301690831706,-0.22101739112921276,0.018210756146419264,0.7476778410524606,0.6629271581056098,0.03426072687096666,175.83189778989265,-1.5521699643831084,83.17996696145651,ema,wxyz,-X
35,1,primary,0,-1.204394238871625,0.32463449795723887,-0.21805310558738575,0.013965964594921002,0.7915830534017125,0.6087390757828025,0.05136106516861342,175.13449887095072,-3.6872270232779516,75.2783395561539,ema,wxyz,-X
36,1,primary,0,-1.209065862260348,0.3307612624721753,-0.21705118052627959,0.020738474516750826,0.8424820508566669,0.535793035001621,0.0521510623363939,174.7774629344436,-3.7641525807006886,65.08197902974568,ema,wxyz,-X
37,1,primary,0,-1.2129748114577021,0.3349753123774669,-0.21901200195554657,0.02612777875833284,0.8858584279407453,0.460682197681649,0.04841588130678918,174.77464677652733,-3.5377424688109524,55.11399350341357,ema,wxyz,-X
38,1,primary,0,-1.2173026543985084,0.3384338127379678,-0.21502446404282916,0.023194782832977805,0.9173568777173067,0.39491467649889417,0.044280461152289036,175.54456121184026,-3.6075511215260225,46.723352062356355,ema,wxyz,-X
39,1,primary,0,-1.221664080702244,0.3423737560869732,-0.21529639672481862,-0.005639988186095641,0.9409360762772401,0.332312683297521,0.0646202090127696,178.1323093166983,-7.201283087441901,39.02116909597752,ema,wxyz,-X
40,1,primary,0,-1.2269624078332764,0.34773888224502514,-0.2158669279007249,-0.0017144757718682631,0.9619409101891448,0.2673327602813284,0.0565680223949286,178.4465050330947,-6.3007234250487025,31.14777044375206,ema,wxyz,-X
41,1,primary,0,-1.2323748921500282,0.3514300647308435,-0.2161269099200672,6.498495559010222e-05,0.9773808683707547,0.20578949817437533,0.04875773129385767,178.83756137970744,-5.467608468125829,23.835643016479747,ema,wxyz,-X
