frame_idx,t_sec,cam1_origin_source,cam2_origin_source,cam3_origin_source,cam1_origin_held_frames,cam2_origin_held_frames,cam3_origin_held_frames,n_direct_cams,n_anchor_cams,n_held_cams,n_total_tags,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_n_cams,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_n_cams,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z
27,7.105511903762817,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6698026408910115,0.5120771903667641,-0.16499308544657698,0.9770075075705881,0.05133994876154632,-0.07400631789115304,0.19324493453662073
28,7.344931364059448,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6692913904298006,0.512832048096616,-0.15594285854604653,0.9769171167101525,0.0561881253313779,-0.07227648206537726,0.19300764697472736
29,7.596851348876953,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6613222673887438,0.520187048584218,-0.14895722783018062,0.9796210047629564,0.04404095991384872,-0.03394542521901043,0.19300463461736622
30,7.846137762069702,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6639801709945091,0.5260136315832695,-0.15683616095896824,0.9795631710156869,0.02287452012048614,-0.051165308287365936,0.19317055041286324
31,8.085847616195679,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6689393041242859,0.5110754911465343,-0.14805458512596567,0.977276073251234,0.06667515994920706,-0.05940304565142077,0.19224249754862122
32,8.328176021575928,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6611448757941225,0.5203197091664553,-0.15702507444275426,0.9794486084327713,0.04036236797994284,-0.04088302973551856,0.19333877151209086
33,8.567751169204712,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6720081988593717,0.5114328111210641,-0.15512804361542368,0.9773817689639899,0.052327110959339555,-0.06703405788653483,0.19363157345519738
34,8.805127620697021,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6655275997616388,0.525487045003144,-0.15095723581986445,0.9796992882388249,0.022422647269330007,-0.04686610890911472,0.19362359708851107
35,9.043112993240356,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6666442325013785,0.5109648384261921,-0.1534887227720138,0.9771978158953748,0.06914505472812339,-0.05955403156810743,0.19172038843049224
36,9.275246381759644,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6690321205526852,0.5120698747279927,-0.14254274196185207,0.9777967947157745,0.059124355357017995,-0.057626976678165034,0.19260547865029448
